SPEAKER|Emma|f|s								
1	Ciao	ciao	I	I	_	2	mod	
2	Freddy	Freddy	S	SP	_	0	ROOT	
3	,	,	F	FF	_	4	punc	
4	come	come	C	CS	_	2	mod	
5	stai	stare	V	V	num=s|per=2|mod=i|ten=p	4	sub	io sto, tu stai, lui/lei/Lei sta, noi stiamo, voi state, loro stanno
6	?	?	F	FS	_	2	punc	
								
SPEAKER|Freddy|m|s								
1	Ah	ah	I	I	_	4	mod	
2	,	,	F	FF	_	1	punc	
3	ciao	ciao	I	I	_	4	mod	
4	Emma	Emma	S	SP	_	0	ROOT	
5	!	!	F	FS	_	4	punc	
								
SPEAKER|Freddy|m|s								
1	Tutto	tutto	D	DI	num=s|gen=m	2	mod	
2	bene	bene	B	B	_	0	ROOT	
3	....	....	F	FS	_	2	punc	
								
SPEAKER|Freddy|m|s								
1	Che	che	P	PR	num=n|gen=n	2	subj	
2	fai	fare	V	V	num=s|per=2|mod=i|ten=p	0	ROOT	io faccio, tu fai, lui/lei/Lei fa, noi facciamo, voi fate, loro fanno
3	qui	qui	B	B	_	2	obj	
4	?	?	F	FS	_	2	punc	
								
SPEAKER|Emma|f|s								
1	Vado	andare	V	V	num=s|per=1|mod=i|ten=p	0	ROOT	io vado, tu vai, lui/lei/Lei va, noi andiamo, voi andate, loro vanno
2	a	a	E	E	_	1	comp_loc	
3	Torino	Torino	S	SP	_	2	prep	
4	a	a	E	E	_	1	arg	
5	trovare	trovare	V	V	mod=f	4	prep	
6	mia	mio	A	AP	num=s|gen=f	7	mod	mio/mia/miei/mie	
7	sorella	sorella	S	S	num=s|gen=f	5	obj
8	,	,	F	FF	_	1	con	
9	e	e	C	CC	_	1	con	
10	tu	tu	P	PE	num=s|per=2|gen=n	1	conj	
11	?	?	F	FS	_	1	punc	
								
SPEAKER|Freddy|m|s								
1	Io	io	P	PE	num=s|per=1|gen=n	2	subj	
2	vado	andare	V	V	num=s|per=1|mod=i|ten=p	0	ROOT	io vado, tu vai, lui/lei/Lei va, noi andiamo, voi andate, loro vanno
3	al	a	E	EA	num=s|gen=m	2	comp	
4	lavoro	lavoro	S	S	num=s|gen=m	3	prep
								
SPEAKER|Emma|f|s								
1	Ah	ah	I	I	_	0	_	
2	,	,	F	FF	_	1	punc	
3	e	e	C	CC	_	1	con	
4	dove	dove	P	PR	num=n|gen=n	5	det	
5	lavori	lavorare	V	V	num=s|per=2|mod=i|ten=p	1	conj	io lavoro, tu lavori, lui/lei/Lei lavora, noi lavoriamo, voi lavorate, loro lavorano
6	?	?	F	FS	_	5	punc	
								
SPEAKER|Freddy|m|s								
1	Lavoro	lavorare	V	V	num=s|per=1|mod=i|ten=p	0	ROOT	io lavoro, tu lavori, lui/lei/Lei lavora, noi lavoriamo, voi lavorate, loro lavorano
2	a	a	E	E	_	1	comp_loc	
3	Milano	Milano	S	SP	_	2	prep	
4	,	,	F	FF	_	1	con	
5	faccio	fare	V	V	num=s|per=1|mod=i|ten=p	1	conj	io faccio, tu fai, lui/lei/Lei fa, noi facciamo, voi fate, loro fanno
6	l'	il	R	RD	num=s|gen=n	7	det	
7	insegnante	insegnante	S	S	num=s|gen=n	5	obj
8	di	di	E	E	_	7	comp	
9	spagnolo	spagnolo	S	S	num=s|gen=m	8	prep	
10	.	.	F	FS	_	1	punc	
								
SPEAKER|Freddy|m|s								
1	È	essere	V	V	num=s|per=3|mod=i|ten=p	11	aux	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
2	il	il	R	RD	num=s|gen=m	3	det	
3	lavoro	lavoro	S	S	num=s|gen=m	1	subj
4	dei	di	E	EA	num=p|gen=m	3	comp	
5	miei	mio	A	AP	num=p|gen=m	6	mod	mio/mia/miei/mie	
6	sogni	sogno	S	S	num=p|gen=m	4	prep
7	e	e	C	CC	_	1	con	
8	finalmente	finalmente	B	B	_	11	mod	
9	l'	lo	P	PC	num=s|per=3|gen=n	11	obj	
10	ho	avere	V	VA	num=s|per=1|mod=i|ten=p	11	aux	io ho, tu hai, lui/lei/Lei ha, noi abbiamo, voi avete, loro hanno
11	trovato	trovare	V	V	num=s|mod=p|gen=m	0	ROOT	
12	.	.	F	FS	_	11	punc	
								
SPEAKER|Emma|f|s								
1	Sono	essere	V	V	num=s|per=1|mod=i|ten=p	0	ROOT	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
2	contenta	contento	A	A	num=s|gen=f	1	pred
3	per	per	E	E	_	1	comp
4	te	te	P	PE	num=s|per=2|gen=n	3	prep	
5	.	.	F	FS	_	1	punc	
								
SPEAKER|Emma|f|s								
1	Ma	ma	C	CC	_	0	ROOT	
2	lavori	lavorare	V	V	num=s|per=2|mod=i|ten=p	0	ROOT	io lavoro, tu lavori, lui/lei/Lei lavora, noi lavoriamo, voi lavorate, loro lavorano
3	tutti	tutto	A	A	num=p|gen=m	5	mod	
4	i	il	R	RD	num=p|gen=m	5	det	
5	giorni	giorno	S	S	num=p|gen=m	2	mod	
6	?	?	F	FS	_	1	punc	
								
SPEAKER|Freddy|m|s								
1	Sì	sì	B	B	_	0	ROOT	
2	,	,	F	FF	_	3	punc	
3	dal	da	E	EA	num=s|gen=m	1	comp	
4	lunedì	lunedì	S	S	num=n|gen=m	3	prep	
5	al	a	E	EA	num=s|gen=m	4	comp	
6	venerdì	venerdì	S	S	num=n|gen=m	5	prep	
7	a	a	E	E	_	6	comp_loc	
8	Milano	Milano	S	SP	_	7	prep	
9	,	,	F	FF	_	3	punc	
10	in	in	E	E	_	3	conj	
11	una	uno	R	RI	num=s|gen=f	12	det	
12	scuola	scuola	S	S	num=s|gen=f	10	prep	
13	superiore	superiore	A	A	num=s|gen=n	12	mod	
14	.	.	F	FS	_	1	punc	
								
SPEAKER|Emma|f|s								
1	Quindi	quindi	B	B	_	2	mod	
2	prendi	prendere	V	V	num=s|per=2|mod=i|ten=p	0	ROOT	io prendo, tu prendi, lui/lei/Lei prende, noi prendiamo, voi prendete, loro prendono
3	il	il	R	RD	num=s|gen=m	4	det	
4	treno	treno	S	S	num=s|gen=m	2	obj	
5	tutti	tutto	A	A	num=p|gen=m	7	mod	
6	i	il	R	RD	num=p|gen=m	7	det	
7	giorni	giorno	S	S	num=p|gen=m	4	mod	
